Address,Bonus,Communities
0x1db3439a222c519ab44bb1144fc28167b4fa6ee6,147059,moloch
0x2586e4b30c581ee20af694495dbcf98daecde75e,147059,moloch
0xfaae12e4166e499666e94da41b174aa669a7d79e,147059,moloch
0xed94c5ca5f764687f8555e32ed191a959bb50fd5,147059,moloch
0xe8e4a1d6bff7a3b8904eedd3feb6e7927736c055,147059,moloch
0xe84c0c01d76c169e9c92b6e666b52e4f4b6e5300,147059,moloch
0xdf95439916bc1a4eabc3df006665dd31b424e174,147059,moloch
0xabbd0c374f54edc4392c9ff45db9b65e91bc2678,147059,moloch
0x10f5d45854e038071485ac9e402308cf80d2d2fe,147059,moloch
0x965fdb32e3fcdc6dc323464a42a9615e6a5464d1,147059,moloch
0x89e12f054526b985188b946063ddc874a62fed45,147059,moloch
0x6b6398c9838d92a779b52f8cf3d91a6586fccb7f,147059,moloch
0x5e682cb9b6dc4b0fd299908672839556485e992b,147059,moloch
0x53daa790311c435a8957c6b4ec1855357923e729,147059,moloch
0x4c0a466df0628fe8699051b3ac6506653191cc21,147059,moloch
0x1c9e5aba9bce815ed3bb7d9455931b84c56d5114,156319,moloch;metacartel
0x28ab95385e1a576fe15c70c4850dcdc6b10a5f6d,147059,moloch
0x0f0957c08314205327bbec069307390251fbca91,147059,moloch
0x0a9e871cf80289e592df3c503db3dd8167fbbd07,147059,moloch
0x3274e22d86cc21778df15836833e147b1894d3e4,147059,moloch
0xebac3108c58bd4dd48a8110b7750480cea7bc3fb,147059,moloch
0xd26a3f686d43f2a62ba9eae2ff77e9f516d945b9,156319,moloch;metacartel
0x1a57f99c4759f4e4e29140b1d7a89584e1c1ef67,147059,moloch
0xdd4c48c0b24039969fc16d1cdf626eab821d3384,147059,moloch
0x19c49117a8167296caf5d23ab48e355ec1c8be8b,147059,moloch
0x33a5f4b107093cd9cbbbe844f939acb4cab2e260,147059,moloch
0xff5f549ca771e86f3fe5e67d4f528c829add0ad3,147059,moloch
0xfcc41c4614bd464ba28ad96f93aadaa7ba6c8680,147059,moloch
0xfa90ef7c88f6de7c837b52cf4cf94af660515a80,147059,moloch
0xfa3f711fbbe29090a7a2ecf59b7b8553b8fbf674,147059,moloch
0xecd11858a4bcc35a51084ebe672beace01142fca,147059,moloch
0xeb38597267b8b6f9cdfcf6466ad9384e95271efc,147059,moloch
0xdcf220450fa8dfaef1246a805142b9aa284d412e,147059,moloch
0xcd16cbda54af2556ebb6df4fbfd178e63c33fd89,147059,moloch
0xcc04c8eff1c7049f948c12dd5286a56114228657,147059,moloch
0xc6bc2e1dbd5dd51f37f9e0f471d896405e318d78,147059,moloch
0xbd9f96663e07a83ff18915c9074d9dc04d8e64c9,147059,moloch
0xbcede714283f348ebb3e5cbaf8a947cab3c8be8d,147059,moloch
0xbaf2d86e1224b5fc9121495fe2b55a273d6f2bae,147059,moloch
0xae5fb390e5c4fa1962e39e98dbfb0ed8055ed7a9,147059,moloch
0xa873baa34ea1868194e5937e3aefd20dd2e549ea,147059,moloch
0xa489faf6e337d997b8a23e2b6f3a8880b1b61e19,147059,moloch
0x9ac9c636404c8d46d9eb966d7179983ba5a3941a,156319,moloch;metacartel
0x91dbd5e72b1331447a40932bf16d140cf4638324,147059,moloch
0x8b00191a7a3349ceffe90d2414fe0833fde0368e,147059,moloch
0x87690be28b65f13394741c2c2be5a6bdb0505039,163895,moloch;discord;metacartel
0x865c2f85c9fea1c6ac7f53de07554d68cb92ed88,147059,moloch
0x865595dbb0099ea9caedbdc35ad2498fd91caca5,147059,moloch
0x7b3e509c78faee4c589d3d07ea0c8929aa2835e3,147059,moloch
0x7a09a4b3da2d3957929972ec739178a1834d85d5,147059,moloch
0x75a10a9d761d77642466fde9abd10e29b2e310ee,147059,moloch
0x68085e7f88e90fa9247489c83fab30b177ebccb3,147059,moloch
0x66b1de0f14a0ce971f7f248415063d44caf19398,156319,moloch;metacartel
0x5c04e7808455ee0e22c2773328c151d0dd79dc62,147059,moloch
0x5bb3e1774923b75ecb804e2559149bbd2a39a414,156319,moloch;metacartel
0x5b93ff82faaf241c15997ea3975419dddd8362c5,165904,moloch;milady;metacartel
0x5a9e792143bf2708b4765c144451dca54f559a19,147059,moloch
0x54bfb3a5e2e5999b9e2fd63def9750ca667adc5b,147059,moloch
0x512e07a093aaa20ba288392eadf03838c7a4e522,147059,moloch
0x4d3caed8a1cf048c18280a8320608fc7d59c3ee3,147059,moloch
0x4cdc4f412355f296c2cf261210cc9274404e442b,147059,moloch
0x3ec2cd742b0538c7eb68e4d9c943fc68519ca4d5,147059,moloch
0x29983374cbb8253a114df5f38ec3f171f95bb8c7,147059,moloch
0x2619c649d98ddddbb0b218823354fe1d41bf5ce0,156319,moloch;metacartel
0x2525f1a08a2d5f037dda969f2fa1b56e4b4b47f3,147059,moloch
0x1fd1d8b92e17f64513a6da3b44ad3f00218454a9,147059,moloch
0x0b916095200313900104bacfc288462682c38700,147059,moloch
0x02cb3c150bedca124d0ae8cccb72fefbe705c953,147059,moloch
0x4a4d944301507a175824de2dae490e9aeca5c347,9585,milady
0x88b503c81a4fb9c9c5464dd3c6835fc34b2cc85d,9585,milady
0x1511afbe08e6abbf4e78fb8a72877019500b7a2c,9585,milady
0x29469395eaf6f95920e59f858042f0e28d98a20b,9585,milady
0xf4a93bd87468a0a1ede4a4de2ffd20dbdafeba1a,9585,milady
0xcc80103502fdfc31e5106d11854b856b27301636,9585,milady
0x7754564cccefe946c48810885800ccad0711791a,9585,milady
0x955f3d3663a652f331218e70645c9b3496920b81,9585,milady
0x5e30c99a4c6219a6ad97a6f0ff0214e72fa80c90,9585,milady
0xc249f7642ccf8301cf0057c840d06c5dd7e6cd1e,9585,milady
0x60dc1dedde8a4fe7aaca0550cac7fdbaf246805f,9585,milady
0x05fc9abbc4c10349c152fab97f973ee9fa6535c9,9585,milady
0x9eaec4d4296d3cd7c59847cdbf5c28c2c0ad0bc3,9585,milady
0xfc6bbf4763845e3fe68cad2368f9e1b45f231d32,9585,milady
0xc8c9771b59f9f217e8285889b9cdd7b9ddce0e86,9585,milady
0x7c3c22cc2b0aef8807171f20c41273c5cdb65285,9585,milady
0x2d50bf6334152dbda8bed2f50e5a0d8456bd47b3,9585,milady
0x2e3a263f8b48247e307ff452dcc35a60c9cc3c1f,9585,milady
0x1668c9725e27bf5943bbd43886e1fb5afe75c46c,9585,milady
0x6ba3ce4c47c20b51fbf2e27b108e33da72194eb3,9585,milady
0x8f60d79fe3df6cd0e3a44288ad2f41af134d813e,9585,milady
0x90f68a1782d2975dfc702383493cda4b7c7b5cd9,9585,milady
0x11da2d789fbe7aa6d8c65263bdcb50bf8a30e011,9585,milady
0xbbc863afcdd2f790fdbfd6a5190b75e9c2043554,9585,milady
0x468ffca628b037b845b45223334e3def041cced1,9585,milady
0x44d0bce321800fcfc3a7e1ab9bee55d10bf3a335,9585,milady
0x52380ae129ee629dbec9a23b9cc1c62614882463,9585,milady
0x478157491bd8b9b27ef7f132e3c28f8e4a9222c6,9585,milady
0xbcbdcb605d45d3ef692e2d342d1dc757361af8c3,9585,milady
0x34b00c8859fe9c4e8b3e94391abbe41eb5da6a6b,9585,milady
0x8e52335735c3ca7f969c4ec66bf4cd38b0741f31,9585,milady
0xae9fac86cdb1cf62d2b3649036b75be76565180e,9585,milady
0xf606a7594c7f20dc7229efbfbeb2ab444d072032,9585,milady
0x03c0b5127898de39a1c8cff2deb52e2a8e0da52f,9585,milady
0x2f7ba94d52963c76057407f3b395a7759cfef263,9585,milady
0xb3350c168cc9b62bd099c1732830b6bc09bf3343,9585,milady
0x6b5bbd4aaa860705a8674e1de639c3dfff734b0f,9585,milady
0xcbc44e0850fa7819184bfe379bc46f3c84fcf468,9585,milady
0x392d8561d047abc4712ff52beea6394379722e7a,9585,milady
0xb5aab050202d103dc9e528743ad2ec4f186f115f,9585,milady
0xfea87834c66a3eb39151af0fa0f0801e12865ab3,9585,milady
0xfe551eced20c5e31935a2d8eeff8ca3a45b04a19,9585,milady
0x2caa9a24480829f4934f410d2009e07db8158068,9585,milady
0x9ac49d2ff6d3cafb8811d3de84cfe065b55cdfff,9585,milady
0xc0f53e8a518ae31cda62f2ea83922a434e26627d,9585,milady
0x02e0b414926c827b18b1f0b9adbe595ef6ffa080,9585,milady
0x76d87a1bba52aa71d7fc271d4a9088b79bd9be1e,9585,milady
0x8dfa5ece3aaa642ae4f70381ba74479371577d64,9585,milady
0x221b2ce661aa9cb5e936da6fd2bdfd6bbef71ca3,9585,milady
0x7a18960043093e89d804a30d5664ce769cd153a1,9585,milady
0xf59e08cb08c4bbbf3555d55fbbb78719479c3eaf,9585,milady
0xa996d391f64158fb17fb71d6a4fad67df7410895,9585,milady
0xae1d0d128afe36ed5babfd3098f4b74bf92bf19f,9585,milady
0xbc256baa3480ec7882ac87eadc349e77291b202b,9585,milady
0x90b25e5ed60a5a81151404050fd1578ce346919c,9585,milady
0xa207cdaf9b660960f819466ba69c28e7cc8aed18,9585,milady
0x6bf83eefd5b6d73481644a3f049616b26b0257b4,9585,milady
0xb518e0f7f6e3c71fa8434116e1a4c63702155265,9585,milady
0x982805e7e4ea1ae3da52a95547b59baf6e4690ba,9585,milady
0xcd77211b229b57a7a797938f3d20848dae11b248,9585,milady
0x485248150969e92b460508b5c8c7e866ed7fae75,9585,milady
0xb4d7b67215fbf3b44acbc8a660004b1ada5f6229,9585,milady
0xeb7a12fe169c98748eb20ce8286eaccf4876643b,9585,milady
0x908ec02994d3f37a61af480ac6056d15dc96dc74,9585,milady
0x1c3bbb75387e7cc718ec4eba7ff138445691b44b,9585,milady
0xe6715a80e62ba19196838caebacac18b788a5c7b,9585,milady
0x4bed23c363f51c4ff842eb0c1cded2010e4491a5,9585,milady
0xfd32fb200e3f24fe5ac8e847c5d379f1039d0b4a,9585,milady
0x227c7df69d3ed1ae7574a1a7685fded90292eb48,9585,milady
0x84572c31acdd30c03982e27b809d30b1efbcd8f2,9585,milady
0x95d41776812c6ca222dd5fdea56c065b55ff7655,9585,milady
0x54ab274770458ca7ce36cc2155429de5e685ba1b,9585,milady
0xe52465d8b73698d7d1c11569b5e94374274beb27,9585,milady
0x32802f989b4348a51dd0e61d23b78be1a0543469,9585,milady
0xa14da6cbd0e88e4b397250404f28ebce2bc43e4d,9585,milady
0x4453820d0774568932bda73ca3f6abaf1d47a0fc,9585,milady
0x59babac9fd570bc5671172222b75a8fdf19a4827,9585,milady
0x14c00dbede6ac88349b20e8eed7c7f7689e11217,9585,milady
0x578bd725e7ac96d8b26c82e2c8daa843f7ad1226,9585,milady
0xa580bfa51f601abaf1ac4d95c4979a9a8490503a,9585,milady
0x50bbdb76ea042324b158bd1d8772379d35d5a12c,9585,milady
0x3ccd7b219252d561e3e555da25f9dd122af94bf1,9585,milady
0xaff2ab518ba962bd19f67e75ceb9de4da350b327,9585,milady
0xbc4a54a632919f0489de07b6f1f224297f3f136e,9585,milady
0xfc737768b68b7f8473ded13926d8171c9849fc9f,9585,milady
0x183d0567c33e7591c22540e45d2f74730b42a0ca,9585,milady
0x0b9d6b075e2e8816545d8b24e4651f4c8643f234,9585,milady
0x0000098a312e1244f313f83cac319603a97f4582,9585,milady
0x67dfaf31f444fac36d4b1979014a92e6152d2ffa,9585,milady
0x7ee64a56b6825f4fee2c214598d429071cec7cb3,9585,milady
0xbb996e83b4071fedb06be1c7c949f3c946a8a80c,9585,milady
0xec17e22f0332f715c54b63cbb6dbb2a2890488cc,9585,milady
0xfecad7e9bdc47884643bc206385eef7dd51555f3,9585,milady
0x6234ef4c5efb91d438c34aa62b3a05d0cb4548a8,9585,milady
0x1bebb42704427ae5c7c24c040d3cf410d6db022d,9585,milady
0x63bbee1f3a5077f1aa37379c7f48c44ff5fcd7b1,9585,milady
0xec339b15e8a3421719fc8c2476c5d995dc879274,9585,milady
0x8760286ecd64c756b883dd30499900e216a0fea5,9585,milady
0x566f8cb93de62dd418bc97b7b169751d9b130b7b,9585,milady
0xd17060803f2d4d3613b32f2f3d3d4db1c6fc3159,9585,milady
0xd41918072034dc5b871a2deb2072726a1c2d57de,9585,milady
0xc4f7ddf70e470a560d53810ab87bcad7e110a2d6,9585,milady
0x35b2095a0d31516acd5327218c4979be4b4a2207,9585,milady
0x620325adfd1d6297e46de02467b4f318d20017e5,9585,milady
0x6011f92c8d7fe516974e95730a61414d488d2b6f,9585,milady
0x2a7e86f90215062ad6aac678a3586b3bfc73cd9c,9585,milady
0x810be8a5c6b6b38a7c1530f9e0b81f47cef92b25,9585,milady
0x699f324560e9236afcfcedbbfb9c4afa8fa9b042,9585,milady
0x960550782966ee4aa1f6451569baab8f288434f4,9585,milady
0x68ea913a3caad9f917ba458897284364d33456e3,9585,milady
0xcad522a8f2d3a99d97d5f26f465e217e6842b70c,9585,milady
0x486589ce779976c9159f0de6aae5416fb40b1c1f,9585,milady
0x53daaf97de884dc2a1c4d57887632dc45d6105b6,9585,milady
0x41d01d47e7457817f46502837b5a898a763e60b0,9585,milady
0xfd3ea1d43d610d315de7064478f30d4c502b4f17,9585,milady
0x984c2ca02454de2250ed0dac78d40787ebfeb95c,9585,milady
0x78d8e8807f652b54afe33b7645a26c5ffae5291c,9585,milady
0x912eb1090fd98e506ed4ef0fc90635d6626dc259,9585,milady
0xdee9716642702b1810627d3e9b10497bd1d3d295,9585,milady
0x58aa50c29bba417ae2384805ae7fbae1381f68d8,9585,milady
0xbed83bae2496ee0eac6608edcde9e53dba13636f,9585,milady
0x3a6154998397441c7da755e93eecc2f2460be365,9585,milady
0xf1841d02a6f70820654d914375f8d1d7b66304ea,9585,milady
0xb8bcea33c881509c6f8ec2bfd5cf7f2af8f89113,9585,milady
0x825728404ed23ff34c6f8f4ed53ca4d9c285ef7f,9585,milady
0xdf75f242112432a60ed0995eb35e35d58080b4a7,9585,milady
0x244d41a06faebd6dff531acbf77e06e605561a0e,9585,milady
0x247648f73f1d13ed4461a36b7dac5a8fc09e5df4,9585,milady
